,batch_size,batchnorm,epochs,layers,lr,num_layers,relu,sensor,mse_list
5,200,True,450,64_64_128_,0.0001,4,True,lidar,14.066407203674316
8,100,True,450,64_64_128_,0.0001,4,True,lidar,15.040322097142536
12,50,True,450,64_64_128_,0.0001,4,True,lidar,15.82540206114451
16,100,True,450,64_64_128_,7.5e-05,4,True,lidar,16.20610589981079
17,200,True,450,64_64_128_,7.5e-05,4,True,lidar,16.220032119750975
26,100,True,300,64_64_128_,0.0001,4,True,lidar,17.847664451599123
27,50,True,450,64_64_128_,7.5e-05,4,True,lidar,18.02065729300181
34,50,True,300,64_64_128_,0.0001,4,True,lidar,19.645656617482505
35,100,True,300,64_64_128_,7.5e-05,4,True,lidar,19.651603666941323
41,200,True,300,64_64_128_,0.0001,4,True,lidar,20.631158320109048
42,100,True,450,32_64_128_,7.5e-05,4,True,lidar,20.653055000305176
43,50,True,450,32_64_128_,0.0001,4,True,lidar,20.678394214312235
56,100,True,450,32_64_128_,0.0001,4,True,lidar,22.309818077087403
59,50,True,300,64_64_128_,7.5e-05,4,True,lidar,22.458348258336382
63,200,True,450,32_64_128_,0.0001,4,True,lidar,23.62521673838297
64,50,True,450,32_64_128_,7.5e-05,4,True,lidar,23.666330973307293
65,100,True,300,32_64_128_,0.0001,4,True,lidar,23.762544918060303
66,50,True,450,64_128_,0.0001,3,True,lidar,24.29801255861918
67,50,True,300,32_64_128_,7.5e-05,4,True,lidar,24.299456485112508
83,200,True,300,64_64_128_,7.5e-05,4,True,lidar,26.724559783935547
87,100,True,300,32_64_128_,7.5e-05,4,True,lidar,27.136801528930665
88,100,True,450,64_128_,0.0001,3,True,lidar,27.30809567769369
90,200,True,450,32_64_128_,7.5e-05,4,True,lidar,27.43653062184652
92,50,True,300,32_64_128_,0.0001,4,True,lidar,27.962208366394044
96,50,True,150,64_64_128_,0.0001,4,True,lidar,28.347622044881184
105,50,True,150,64_64_128_,7.5e-05,4,True,lidar,30.3333574295044
106,100,True,150,64_64_128_,0.0001,4,True,lidar,30.36535984675089
109,100,True,450,64_128_,7.5e-05,3,True,lidar,30.80807704925537
110,200,True,300,32_64_128_,0.0001,4,True,lidar,30.938979975382487
114,50,True,300,64_128_,0.0001,3,True,lidar,31.910417381922404
120,50,True,450,64_128_,7.5e-05,3,True,lidar,32.81460331281026
126,100,True,150,64_64_128_,7.5e-05,4,True,lidar,34.21874205271403
128,100,True,300,64_128_,0.0001,3,True,lidar,34.70982812245687
134,50,True,150,32_64_128_,0.0001,4,True,lidar,35.83494922320048
138,50,True,450,32_128_,0.0001,3,True,lidar,36.83342075347901
141,200,True,450,64_128_,0.0001,3,True,lidar,37.486995442708334
144,50,True,300,64_128_,7.5e-05,3,True,lidar,38.10667044321696
145,50,True,150,32_64_128_,7.5e-05,4,True,lidar,38.48777187665304
147,100,True,150,32_64_128_,0.0001,4,True,lidar,39.184847068786624
152,100,True,300,64_128_,7.5e-05,3,True,lidar,40.9872833887736
160,200,True,300,32_64_128_,7.5e-05,4,True,lidar,42.02951049804688
166,200,True,150,64_64_128_,0.0001,4,True,lidar,42.56322352091471
168,50,True,300,16_32_64_,0.0001,4,True,lidar,42.7254243850708
172,100,True,450,32_128_,0.0001,3,True,lidar,43.38188883463542
173,50,True,450,32_128_,7.5e-05,3,True,lidar,43.49977553685506
176,50,True,450,64_64_128_,1e-05,4,True,lidar,44.23159434000651
179,50,True,300,32_128_,0.0001,3,True,lidar,44.6436518351237
182,50,True,150,64_128_,0.0001,3,True,lidar,45.57448644638062
